scenario,step_percent,estimator,family,run_tier,n_mc_runs,tune_trials,tune_eval_runs,n_cost_reps,base_seed,tuning_base_seed,pipeline_method_version,tuning_elapsed_s,mc_eval_elapsed_s,total_elapsed_s
Sweep_AmplitudeStep_15pct,15.0,TKEO,Adaptive,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,9.819999104365706e-05,29.603178300021682,29.60330849996535
Sweep_AmplitudeStep_15pct,15.0,Type-3 SOGI-PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.1899992134422064e-05,30.677748999965843,30.677794000017457
Sweep_AmplitudeStep_15pct,15.0,UKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.0004566999850794673,35.59452169999713,35.59502110001631
Sweep_AmplitudeStep_15pct,15.0,ZCD,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.19999928958714e-05,11.228768399974797,11.228841400006786
Sweep_AmplitudeStep_1pct,1.0,EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,4.769995575770736e-05,33.24511519999942,33.2452247000183
Sweep_AmplitudeStep_1pct,1.0,IPDFT,Window-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.3600005079060793e-05,27.020387600001413,27.02043330000015
Sweep_AmplitudeStep_1pct,1.0,LKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,9.330001194030046e-05,30.22908700001426,30.229214300052263
Sweep_AmplitudeStep_1pct,1.0,LKF2,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00010779994772747159,32.607605100027286,32.607754299999215
Sweep_AmplitudeStep_1pct,1.0,PLL,Loop-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,0.00012050004443153739,32.37778849998722,32.37794179999037
Sweep_AmplitudeStep_1pct,1.0,RA-EKF,Model-based,fast,30,120,4,3,12345,1012345,amplitude_step_v14_fixed_policy_oracle_audit_2026_05_17,2.759997732937336e-05,37.459902000031434,37.459950599994045
